iter	RMSE
0	4323.323072
1	4055.999943
2	3819.515658
3	3610.898506
4	3424.212633
5	3260.200285
6	3124.19045
7	3003.245066
8	2893.455104
9	2802.779725
10	2725.48574
11	2648.82802
12	2584.268042
13	2521.641387
14	2475.354235
15	2430.787579
16	2390.443534
17	2353.728908
18	2327.206201
19	2297.465694
20	2268.775769
21	2242.064658
22	2218.060768
23	2191.710372
24	2167.084561
25	2152.051827
26	2135.739203
27	2116.370834
28	2100.103687
29	2078.291818
30	2060.155579
31	2046.768128
32	2033.909302
33	2023.810485
34	2009.806433
35	2003.467932
36	1989.445534
37	1972.989156
38	1957.470189
39	1946.319112
40	1935.649772
41	1924.829439
42	1916.793239
43	1909.844315
44	1901.488117
45	1895.898475
46	1881.621699
47	1871.396879
48	1861.60134
49	1854.985932
50	1850.977306
51	1844.812829
52	1837.164058
53	1829.72347
54	1823.749251
55	1820.471388
56	1811.390316
57	1800.761578
58	1795.63372
59	1791.517631
60	1782.864413
61	1766.693245
62	1760.787722
63	1754.732684
64	1746.018369
65	1739.518536
66	1730.672014
67	1722.836363
68	1715.234631
69	1704.129188
70	1699.101868
71	1693.872272
72	1686.985413
73	1684.552753
74	1677.350355
75	1670.458759
76	1662.516302
77	1656.528062
78	1652.178014
79	1648.210146
80	1643.68123
81	1639.014037
82	1634.781926
83	1630.925898
84	1623.798721
85	1618.81331
86	1611.73436
87	1605.995802
88	1599.214467
89	1594.176835
90	1592.404158
91	1585.6591
92	1581.59494
93	1575.096446
94	1569.537558
95	1567.527765
96	1558.964058
97	1554.809034
98	1551.877216
99	1550.736037
