iter	Passed	Remaining
0	8	842
1	13	640
2	17	558
3	22	529
4	26	498
5	30	475
6	34	457
7	38	445
8	42	432
9	46	422
10	50	408
11	54	401
12	59	395
13	63	389
14	67	384
15	72	378
16	76	373
17	80	366
18	84	361
19	89	358
20	94	356
21	99	352
22	106	356
23	112	354
24	119	357
25	126	359
26	132	358
27	138	357
28	145	356
29	152	355
30	157	351
31	162	345
32	167	340
33	172	333
34	176	328
35	181	322
36	190	323
37	197	322
38	202	317
39	207	311
40	212	305
41	216	299
42	221	293
43	226	288
44	231	282
45	236	277
46	242	273
47	246	267
48	251	262
49	257	257
50	262	251
51	266	245
52	271	240
53	277	236
54	282	231
55	287	226
56	292	220
57	296	215
58	301	209
59	306	204
60	310	198
61	316	193
62	322	189
63	327	184
64	332	179
65	337	173
66	343	169
67	347	163
68	352	158
69	357	153
70	362	147
71	366	142
72	372	137
73	379	133
74	384	128
75	390	123
76	395	118
77	399	112
78	404	107
79	410	102
80	415	97
81	420	92
82	425	87
83	430	81
84	435	76
85	439	71
86	444	66
87	449	61
88	454	56
89	460	51
90	466	46
91	472	41
92	476	35
93	481	30
94	486	25
95	492	20
96	498	15
97	503	10
98	509	5
99	514	0
