[ 2023-05-03 01:19:37,379 ] 25 root - INFO - Entered the data ingestion method or component
[ 2023-05-03 01:19:38,851 ] 28 root - INFO - Read the dataset as dataframe
[ 2023-05-03 01:19:38,901 ] 35 root - INFO - Train test split initiated
[ 2023-05-03 01:19:38,955 ] 45 root - INFO - Inmgestion of the data iss completed
[ 2023-05-03 01:19:38,956 ] 27 root - INFO - Entered the data cleaning method or component
[ 2023-05-03 01:19:38,981 ] 32 root - INFO - Read the dataset as dataframe
[ 2023-05-03 01:19:38,992 ] 39 root - INFO - processingthe training dataset as dataframe
[ 2023-05-03 01:19:39,373 ] 82 root - INFO - processingthe test dataset as dataframe
[ 2023-05-03 01:19:39,374 ] 96 root - INFO - ended the loop
[ 2023-05-03 01:19:39,384 ] 111 root - INFO - ended he loop
[ 2023-05-03 01:19:39,384 ] 113 root - INFO - returning done
[ 2023-05-03 01:19:39,384 ] 116 root - INFO - directory created
[ 2023-05-03 01:19:39,424 ] 120 root - INFO - df1 saved
[ 2023-05-03 01:19:39,434 ] 122 root - INFO - df2 saved
[ 2023-05-03 01:19:39,434 ] 124 root - INFO - Train test data cleaned
[ 2023-05-03 01:19:39,449 ] 87 root - INFO - Read train and test data completed
[ 2023-05-03 01:19:39,450 ] 89 root - INFO - Obtaining preprocessing object
[ 2023-05-03 01:19:39,450 ] 59 root - INFO - Categorical columns: ['Airline', 'Source', 'Destination']
[ 2023-05-03 01:19:39,450 ] 60 root - INFO - Numerical columns: ['Journey_day', 'Journey_month', 'Journey_year', 'hours', 'minutes', 'Arrival_hour', 'Arrival_min', 'duration_mins', 'duration_hours', 'Total_Stops']
[ 2023-05-03 01:19:39,450 ] 72 root - INFO - Train test split initiated
[ 2023-05-03 01:19:39,451 ] 99 root - INFO - Applying preprocessing object on training dataframe and testing dataframe.
[ 2023-05-03 01:19:39,491 ] 105 root - INFO - Saved preprocessing object.
[ 2023-05-03 01:19:39,498 ] 33 root - INFO - Split training and test input data
[ 2023-05-03 01:28:11,957 ] 102 root - INFO - Best found model on both training and testing dataset
